substrate,coupling_partner,Solvent,Time,temperature,catalyst_precursor,reagent,effective_reagents,effective_reagents_covalent,ligand,effective_ligand,PRODUCT,isolated_yield,couplingpartner_class,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,2_steps,scheme_table,review,Mechanism,reaction_condition,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,O1CCCC1,16 h,60,Cl[Co]Cl,C[O-].[K+],,,,,C1(C2=CC=CC=C2)=CC=CC=N1,38,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,O1CCCC1,16 h,60,Cl[Co]Cl,C[O-].[K+],,,C1(C2=NC=CC=C2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,41,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,O1CCCC1,16 h,60,Cl[Co]Cl,C[O-].[K+],,,CC(P(CC1=CC=CC(CP(C(C)(C)C)C(C)(C)C)=N1)C(C)(C)C)(C)C,,C1(C2=CC=CC=C2)=CC=CC=N1,31,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,O1CCCC1,16 h,60,Cl[Co]Cl,C[O-].[K+],,,C/C(C1=CC=CC(/C(C)=N/C2=CC=CC=C2)=N1)=N\C3=CC=CC=C3,,C1(C2=CC=CC=C2)=CC=CC=N1,2,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,O1CCCC1,16 h,60,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,90,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,94,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,93,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.05,0.05,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,46,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,0.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Co]Cl,CC(C)(C)[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,7,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Co]Cl,CC[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,92,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
