,substrate,coupling_partner,Solvent,Time,temperature,catalyst_precursor,reagent,ligand,PRODUCT,isolated_yield,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,scheme_table,review,Mechanism,substrate_class,coupling_partner_class,reaction_condition,Unnamed: 23
3,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
4,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,50,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
6,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,82,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
8,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,O=C([O-])[O-].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,70,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
10,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,O=C([O-])[O-].[Cs+].[Cs+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,75,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
15,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
16,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,87,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,table.2,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
17,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,92,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.4,2.0,table.2,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
18,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,98,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.1,0.2,2.0,table.2,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
19,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,88,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.05,0.1,2.0,table.2,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
20,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,65,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.1,0.1,2.0,table.2,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
35,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,40h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,64,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,S1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
36,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,50h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,72,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,S1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
37,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,80,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,60,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,S1,Research_Article,sonogashira,aryl acetylene,acetophenone,N2,
38,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,60h,130,[Cu]I,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,98,https://doi.org/10.1002/slct.201600894,optimization,1.2,1.0,0.2,0.6,2.0,S1,Research_Article,sonogashira,aryl acetylene,acetophenone,O2,
149,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,71,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.4,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
153,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,25,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,0,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.4,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
154,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,80,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,0,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.4,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
155,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,48h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,74,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.4,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
156,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,57h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,34,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.4,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
157,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,50,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.4,1.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
161,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.4,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,,
162,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,74,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.25,0.5,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
163,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,34,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.3,0.6,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
164,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,60,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.15,0.3,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
165,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,55,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.2,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
166,CC1=CC=C(C#C)C=C1,BrC#CC1=CC=CC=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,33,https://doi.org/10.1016/j.mcat.2017.07.021,optimization,1.2,1.0,0.2,0.1,2.0,Table 2,article,cadiot,ethynylmethylbenzene,acetylene,N2,
173,C#CC1=CC=CC=C1,BrC#CC1=CC=C(C)C=C1,CCO,24h,125,CC[Zn]CC,C(=O)([O-])[O-].[Cs+].[Cs+]  ,OC(C1CCCN1)=O,CC1=CC=C(C#CC#CC2=CC=CC=C2)C=C1,53,https://doi.org/10.1016/j.mcat.2017.07.021,scope,1.2,1.0,0.2,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetylene,N2,
