,Dataset,model_type,featurisation_method,epoch,learnin_rate,test_size,iterations,RMSE,MAE,Correlation
0,Dataset1.8,nural_net,DRFP,800,0.0001,0.2,5,26.78785238518505,22.086934612598426,0.24993358842349378
1,Dataset1.8,nural_net,DRFP,1000,0.0001,0.2,5,26.082852964456446,21.206530687716533,0.28889438146388813
2,Dataset1.8,nural_net,DRFP,1200,0.0001,0.2,5,25.94950450024706,21.002358504881894,0.29614684318421136
3,Dataset1.8,nural_net,DFT,800,0.0001,0.2,5,30.195302803647184,24.735776424242427,0.08402756495322738
4,Dataset1.8,nural_net,DFT,1000,0.0001,0.2,5,29.867735437534513,24.69886153232323,0.10379323546858044
5,Dataset1.8,nural_net,DFT,1200,0.0001,0.2,5,29.93020271002364,24.387274048484848,0.10004054815166163
6,Dataset1.8,nural_net,RDkitFP,800,0.0001,0.2,5,28.485747134040196,23.470426278740156,0.15183733144267575
7,Dataset1.8,nural_net,RDkitFP,1000,0.0001,0.2,5,28.76161853183054,23.660741340472438,0.13532964899896205
8,Dataset1.8,nural_net,RDkitFP,1200,0.0001,0.2,5,28.839836004657048,23.78058676094488,0.1306202969877719
9,Dataset1.8,random_forest,DRFP,none,none,0.2,5,24.008194500159156,18.20416255622351,0.3975195965537588
10,Dataset1.8,random_forest,DFT,none,none,0.2,5,26.970253299450132,20.357867837101168,0.26924183489513387
11,Dataset1.8,random_forest,RDkitFP,none,none,0.2,5,23.354207077751216,17.874919893448727,0.42989588313076577
12,Dataset1.8,random_forest_h_tuning_grid,DRFP,none,none,0.2,5,23.9723767792199,18.26595952522259,0.3993159313676452
13,Dataset1.8,random_forest_h_tuning_grid,DFT,none,none,0.2,5,25.61517813236975,20.22078030416704,0.3408285532249785
14,Dataset1.8,random_forest_h_tuning_grid,RDkitFP,none,none,0.2,5,23.353060534674622,18.203624915355523,0.4299518587313035
15,Dataset1.8,random_forest_h_tuning_bayes_strat,DRFP,none,none,0.2,5,22.399073782915064,17.01074257686154,0.4712148074084387
16,Dataset1.8,random_forest_h_tuning_bayes_strat,DFT,none,none,0.2,5,24.862111149860368,19.067070655682215,0.37651485388857675
17,Dataset1.8,random_forest_h_tuning_bayes_strat,RDkitFP,none,none,0.2,5,23.903598080830324,18.551811625657475,0.3977931096029812
