,Yields,Predicted Yields
0,77,67.3424126984127
1,95,88.72267604617602
2,19,26.158952380952382
3,36,50.329952380952385
4,86,80.03886197136198
5,80,46.88673376623377
6,35,44.73446753246754
7,0,41.416770890608106
8,1,23.640497113997117
9,76,49.46307059090781
10,75,71.18494754933697
11,83,65.97953968253967
12,0,71.18494754933697
13,75,42.270872294372296
14,25,14.740587301587306
15,92,89.84478676878675
16,0,43.08634710877359
17,12,33.93246825396826
18,70,76.73780952380952
19,54,49.40890598290598
20,18,34.70247186147187
21,78,49.44271241830066
22,20,72.46033909073381
23,92,67.94350959412104
24,1,43.103319902319896
25,4,28.29727272727273
26,75,49.54816121511789
27,46,58.094950793650796
28,86,76.31014285714288
29,1,8.541212121212123
30,95,34.0207380952381
31,78,70.5499898989899
32,92,18.78331385281385
33,64,40.48095238095238
34,79,91.79678792912514
35,65,59.92375457875457
36,46,22.14810173160173
37,25,59.397426984126966
38,0,72.46033909073381
39,85,29.30941979725701
40,23,48.09988801231449
41,74,62.29041838553603
42,81,79.06004427615669
43,13,23.546761904761908
44,88,47.06257936507937
45,93,59.48558356676001
46,85,67.88796741630463
47,1,24.602822344322345
48,1,44.107575646575654
49,84,80.03886197136198
50,76,21.51195238095239
51,8,48.70947367665014
52,68,74.99871794871795
53,98,67.46074603174604
54,80,85.23709523809521
55,76,43.03267882117883
56,1,33.87470995670996
57,55,74.99871794871795
58,53,67.12722366522365
59,34,45.45366666666665
60,1,20.38294243183717
61,0,42.33425647228588
62,20,57.90117867100221
63,99,69.37080847695475
64,45,60.61999517149516
65,76,64.58855555555554
66,10,34.53057142857144
67,70,76.31014285714288
68,67,33.71041269841269
69,82,85.70916017316019
70,75,68.37363653013652
71,93,80.03886197136198
72,51,60.01909595959595
73,1,70.94032455916177
74,56,43.94359473859474
75,65,81.37161172161171
76,70,36.18608774558774
77,26,37.59390476190476
78,52,43.10629185846834
79,77,59.79884873949578
80,44,63.14698051948052
81,70,71.88643650793651
82,0,37.25004761904761
83,93,71.18494754933697
84,85,78.48973322918913
85,17,63.18793650793652
86,72,68.21676190476191
87,42,56.598333333333336
88,74,71.18494754933697
89,83,52.390861471861484
90,45,48.422768048944526
91,99,90.6325411758784
92,64,34.80886702461625
93,50,62.22709523809524
94,29,48.05682761682761
95,83,59.20214285714285
96,70,73.4375
97,50,47.534047619047605
98,69,66.31942929292929
99,66,49.44271241830066
100,85,67.20196264846263
101,33,39.656542735042734
102,49,35.68599250749251
103,1,29.127416472416474
104,60,71.18494754933697
105,81,49.44271241830066
106,33,36.02218298368298
107,67,45.79655379587732
108,83,63.28651881451881
109,98,32.624785714285714
110,31,55.26599517149518
111,9,13.726571428571429
112,35,44.00340476190475
113,36,47.96557811194654
114,47,47.96557811194654
115,0,49.14112015863334
116,71,78.44266666666667
117,0,9.449389610389611
118,94,66.9154502164502
119,95,86.21972290454646
120,0,3.1090512265512267
121,0,13.283214285714287
122,70,80.85180375180374
123,73,84.93507792207792
124,20,24.13175313059034
125,83,85.70916017316019
126,87,57.425358337225205
127,99,88.06636363636363
128,1,38.10599794133515
129,78,63.28651881451881
130,11,10.770572760572762
131,1,39.68714285714286
132,71,67.94350959412104
133,84,66.37374603174604
134,80,88.06636363636363
135,46,41.59146741630463
136,41,47.19750793650792
