,Dataset,model_type,featurisation_method,epoch,learnin_rate,test_size,iterations,RMSE,MAE,Correlation
0,Dataset1.9,nural_net,DRFP,800,0.0001,0.2,5,29.031024736954578,24.341539097674417,0.18260015910326588
1,Dataset1.9,nural_net,DRFP,1000,0.0001,0.2,5,28.151350150886998,23.09898557445349,0.23138602873927594
2,Dataset1.9,nural_net,DRFP,1200,0.0001,0.2,5,27.697614055031426,22.352846797790697,0.25596299481476137
3,Dataset1.9,nural_net,DFT,800,0.0001,0.2,5,29.75155486241233,24.566458767676767,0.11075186875248877
4,Dataset1.9,nural_net,DFT,1000,0.0001,0.2,5,29.877794108285414,24.69771405656566,0.1031894959090971
5,Dataset1.9,nural_net,DFT,1200,0.0001,0.2,5,29.74952078022892,24.35565518989899,0.11087345849499264
6,Dataset1.9,nural_net,RDkitFP,800,0.0001,0.2,5,29.353778166069787,24.30479363593023,0.16432418639754887
7,Dataset1.9,nural_net,RDkitFP,1000,0.0001,0.2,5,29.809584255247675,24.487978576883723,0.13816990523950456
8,Dataset1.9,nural_net,RDkitFP,1200,0.0001,0.2,5,30.177222528183954,24.708960912906978,0.11678111217949838
9,Dataset1.9,random_forest,DRFP,none,none,0.2,5,26.18334221663013,19.671627106584957,0.3350944145633662
10,Dataset1.9,random_forest,DFT,none,none,0.2,5,26.888683313817587,20.207818670835337,0.27365542285656463
11,Dataset1.9,random_forest,RDkitFP,none,none,0.2,5,25.97457783840297,19.862382639648718,0.3456549631230209
12,Dataset1.9,random_forest_h_tuning_grid,DRFP,none,none,0.2,5,26.061787097973745,19.81692640962228,0.34125367938471585
13,Dataset1.9,random_forest_h_tuning_grid,DFT,none,none,0.2,5,25.69090571483806,20.152188504836097,0.33692530127596687
14,Dataset1.9,random_forest_h_tuning_grid,RDkitFP,none,none,0.2,5,25.581947630953074,19.82381223385195,0.36528753373258804
15,Dataset1.9,random_forest_h_tuning_bayes_strat,DRFP,none,none,0.2,5,25.356258508710997,19.702359198876096,0.35845039399699974
16,Dataset1.9,random_forest_h_tuning_bayes_strat,DFT,none,none,0.2,5,24.747252776321794,19.003544776497357,0.3822623200729045
17,Dataset1.9,random_forest_h_tuning_bayes_strat,RDkitFP,none,none,0.2,5,25.841004316329602,20.28858006104004,0.3336863991181852
